carName,model,year,sellingPrice,condition,mileage,driven,fuel
Tata Nexon,VDI,2018,1528921,Needs Work,18.08,65758,Electric
Ford Ecosport,S10,2015,1820129,Excellent,21.53,120242,CNG
Mahindra Scorpio,Crysta,2022,248799,Fair,22.5,115170,Electric
Ford Ecosport,HTX,2019,326968,Needs Work,21.12,145018,Petrol
Kia Seltos,Titanium,2007,1258442,Fair,17.65,63933,Petrol
Tata Nexon,VDI,2010,574724,Excellent,24.81,65151,CNG
Mahindra Scorpio,EX,2010,1361198,Excellent,24.15,2820,Diesel
Hyundai Creta,HTX,2013,1390320,Good,23.06,6642,Petrol
Maruti Suzuki Swift,VDI,2007,329887,Excellent,12.13,196931,Electric
Kia Seltos,Crysta,2021,876670,Good,16.2,120537,Petrol
Honda City,S10,2008,765730,Needs Work,10.7,142365,Electric
Mahindra Scorpio,EX,2013,1665305,Excellent,18.97,9193,CNG
Ford Ecosport,VDI,2022,1587894,Good,15.32,126895,CNG
Maruti Suzuki Swift,VDI,2021,1612784,Good,16.32,47406,CNG
Mahindra Scorpio,Titanium,2014,1768170,Good,19.95,8479,Diesel
Tata Nexon,HTX,2008,255383,Good,23.22,8098,Diesel
Kia Seltos,Crysta,2011,179615,Good,13.89,143666,CNG
Toyota Innova,Titanium,2010,1683406,Good,20.78,46804,CNG
Honda City,Titanium,2016,400050,Excellent,16.84,173922,Petrol
Tata Nexon,Titanium,2007,1895241,Needs Work,24.92,116701,Electric
Honda City,VDI,2012,1092250,Good,10.69,98779,Diesel
Ford Ecosport,Titanium,2013,694191,Excellent,14.23,150789,Electric
Honda City,VDI,2007,1674498,Good,20.63,154518,Petrol
Mahindra Scorpio,VDI,2020,1781529,Fair,15.44,173514,CNG
Kia Seltos,S10,2018,1694826,Good,19.9,122087,Diesel
Hyundai Creta,ZX,2007,1567183,Good,24.26,35659,Petrol
Maruti Suzuki Swift,S10,2013,496934,Fair,15.53,102716,CNG
Toyota Innova,Crysta,2011,884892,Needs Work,23.94,79880,Electric
Maruti Suzuki Swift,HTX,2012,1036231,Fair,14.33,180195,Diesel
Maruti Suzuki Swift,Titanium,2008,361485,Good,16.87,27161,Petrol
Kia Seltos,ZX,2009,511323,Excellent,15.56,189215,Petrol
Ford Ecosport,XZ+,2019,856914,Fair,12.73,194682,Petrol
Mahindra Scorpio,VDI,2018,412134,Fair,13.12,184473,CNG
Hyundai Creta,S10,2013,536625,Excellent,22.75,80662,Petrol
Toyota Innova,EX,2023,387071,Good,23.63,157652,Petrol
Honda City,VDI,2011,592941,Needs Work,17.17,145645,Petrol
Maruti Suzuki Swift,ZX,2007,159146,Needs Work,21.63,173063,Petrol
Hyundai Creta,HTX,2015,1188121,Excellent,19.92,25359,CNG
Maruti Suzuki Swift,ZX,2022,1115810,Excellent,14.27,77265,Electric
Mahindra Scorpio,XZ+,2019,1128115,Good,17.05,188083,Diesel
Tata Nexon,Titanium,2017,1380787,Good,10.3,79322,Electric
Hyundai Creta,HTX,2023,1239963,Fair,16.86,186143,Electric
Mahindra Scorpio,HTX,2018,220291,Needs Work,20.73,196845,Diesel
Ford Ecosport,ZX,2007,775945,Good,23.34,103381,CNG
Honda City,Titanium,2020,1131997,Needs Work,18.72,116958,CNG
Maruti Suzuki Swift,Crysta,2013,1839766,Excellent,22.2,57227,Diesel
Honda City,Crysta,2019,1522749,Good,12.33,190384,Electric
Toyota Innova,Titanium,2023,1036115,Excellent,23.62,98846,Diesel
Honda City,Crysta,2019,1523079,Fair,22.38,150062,CNG
Hyundai Creta,VDI,2013,931013,Needs Work,15.86,71452,CNG
Kia Seltos,S10,2008,960102,Excellent,10.57,150352,Petrol
Maruti Suzuki Swift,HTX,2007,700189,Needs Work,20.67,35781,Diesel
Ford Ecosport,EX,2005,190723,Excellent,20.88,184729,Electric
Honda City,ZX,2016,581931,Good,20.81,134462,Electric
Toyota Innova,ZX,2008,1629188,Good,24.72,135789,Petrol
Maruti Suzuki Swift,Crysta,2022,136399,Good,20.99,194864,Diesel
Kia Seltos,XZ+,2014,993989,Excellent,14.11,23548,CNG
Maruti Suzuki Swift,Crysta,2009,676861,Excellent,18.02,191810,Petrol
Hyundai Creta,Crysta,2016,1235976,Good,22.58,80649,CNG
Ford Ecosport,ZX,2009,824565,Excellent,18.57,197931,Diesel
Hyundai Creta,S10,2021,1690379,Good,19.54,131968,Petrol
Kia Seltos,S10,2007,811801,Fair,24.32,195364,Petrol
Ford Ecosport,ZX,2022,642529,Excellent,17.87,60525,Petrol
Ford Ecosport,ZX,2009,223567,Excellent,19.3,49503,Diesel
Toyota Innova,S10,2012,1394782,Good,13.15,67226,Diesel
Mahindra Scorpio,ZX,2019,1398274,Fair,14.52,199587,CNG
Ford Ecosport,VDI,2022,1676433,Needs Work,10.02,108971,CNG
Hyundai Creta,S10,2022,1841502,Good,15.6,113143,Petrol
Mahindra Scorpio,HTX,2010,1133491,Needs Work,15.95,81568,CNG
Honda City,Crysta,2021,1715501,Fair,24.06,146295,Diesel
Mahindra Scorpio,XZ+,2017,164298,Needs Work,22.58,108143,Diesel
Tata Nexon,EX,2017,1375141,Good,21.45,166133,CNG
Ford Ecosport,VDI,2017,804607,Fair,18.55,173571,Diesel
Honda City,HTX,2016,800644,Needs Work,15.63,127549,Electric
Hyundai Creta,HTX,2010,1836622,Good,13.58,100407,Petrol
Tata Nexon,ZX,2019,426849,Good,12.67,196026,Diesel
Honda City,VDI,2016,1633848,Excellent,23.98,61096,Petrol
Honda City,Crysta,2014,744422,Excellent,23.97,181136,CNG
Toyota Innova,ZX,2017,1935275,Good,20.61,138862,Petrol
Honda City,HTX,2020,251763,Needs Work,17.21,111854,CNG
Ford Ecosport,VDI,2023,1078249,Excellent,17.34,123818,Diesel
Kia Seltos,S10,2021,962777,Good,22.52,133674,Petrol
Ford Ecosport,VDI,2007,197412,Excellent,20.55,9649,Petrol
Maruti Suzuki Swift,S10,2018,1695778,Good,19.34,68329,Electric
Tata Nexon,HTX,2006,182733,Good,12.8,46944,CNG
Hyundai Creta,S10,2014,1059582,Good,18.02,45298,Diesel
Ford Ecosport,VDI,2007,774533,Excellent,23.72,62454,Electric
Mahindra Scorpio,HTX,2008,266147,Good,12.34,39808,Diesel
Mahindra Scorpio,Crysta,2009,485851,Needs Work,10.33,125902,Petrol
Tata Nexon,Crysta,2022,1075536,Fair,21.91,173253,Petrol
Honda City,Titanium,2007,241799,Fair,18.85,42760,Diesel
Mahindra Scorpio,VDI,2023,278971,Needs Work,14.35,77264,Electric
Tata Nexon,HTX,2015,1628239,Needs Work,18.01,3208,Diesel
Tata Nexon,S10,2020,523623,Good,13.22,186471,Electric
Ford Ecosport,S10,2006,1115745,Good,14.11,135267,Electric
Maruti Suzuki Swift,Crysta,2021,153645,Fair,23.53,110886,Electric
Maruti Suzuki Swift,Titanium,2018,1704800,Fair,13.84,2003,Diesel
Ford Ecosport,S10,2018,834196,Needs Work,14.52,78348,Diesel
Maruti Suzuki Swift,ZX,2013,1758667,Needs Work,14.52,55126,CNG
Tata Nexon,Titanium,2005,1373466,Needs Work,13.67,13005,CNG
Tata Nexon,Titanium,2021,751447,Needs Work,20.65,55258,Electric
Toyota Innova,HTX,2013,781607,Fair,18.11,149054,Diesel
Mahindra Scorpio,Crysta,2010,1263914,Needs Work,11.51,190714,Diesel
Maruti Suzuki Swift,ZX,2009,1677659,Fair,21.79,14779,Diesel
Toyota Innova,HTX,2008,822512,Needs Work,19.47,142429,Diesel
Tata Nexon,XZ+,2021,1308118,Needs Work,22.23,5210,CNG
Toyota Innova,ZX,2019,648188,Fair,10.77,52184,Electric
Ford Ecosport,EX,2019,984173,Good,17.69,97611,CNG
Mahindra Scorpio,HTX,2023,775010,Excellent,13.96,188834,Diesel
Toyota Innova,ZX,2022,1378570,Excellent,11.38,142355,Electric
Toyota Innova,HTX,2019,624312,Good,17.83,169169,Electric
Honda City,Crysta,2020,730005,Good,19.94,121335,Diesel
Tata Nexon,Crysta,2022,1936982,Fair,20.24,97233,Diesel
Tata Nexon,XZ+,2008,1675993,Excellent,12.28,146165,Diesel
Maruti Suzuki Swift,HTX,2019,1046439,Needs Work,12.37,192172,Petrol
Tata Nexon,ZX,2008,1589776,Needs Work,19.49,23780,Petrol
Honda City,Crysta,2014,1390665,Needs Work,11.73,56359,Petrol
Maruti Suzuki Swift,S10,2005,1756971,Excellent,23.04,161255,CNG
Honda City,EX,2010,259663,Fair,14.71,152954,Electric
Toyota Innova,Crysta,2010,1416656,Good,24.66,114774,CNG
Tata Nexon,ZX,2018,452676,Needs Work,15.16,172402,Petrol
Honda City,XZ+,2012,696542,Good,16.87,66994,CNG
Kia Seltos,ZX,2023,1753788,Excellent,21.13,70160,Electric
Maruti Suzuki Swift,VDI,2016,620269,Good,16.28,101840,Diesel
Mahindra Scorpio,XZ+,2011,1707282,Fair,12.71,76458,CNG
Tata Nexon,XZ+,2009,759894,Needs Work,20.55,171001,Petrol
Maruti Suzuki Swift,EX,2015,335159,Good,12.99,48572,Petrol
Honda City,Crysta,2021,1694004,Fair,15.68,104094,Diesel
Ford Ecosport,EX,2005,827101,Needs Work,24.2,155132,Diesel
Honda City,HTX,2020,456876,Good,21.38,31034,Diesel
Hyundai Creta,EX,2014,1578986,Excellent,22.3,11534,Electric
Kia Seltos,Crysta,2010,149786,Needs Work,21.41,162462,Diesel
Mahindra Scorpio,Titanium,2019,1062215,Fair,23.57,25035,Diesel
Mahindra Scorpio,XZ+,2012,372528,Excellent,16.61,46855,Electric
Hyundai Creta,Crysta,2005,1333068,Fair,11.43,150071,Electric
Mahindra Scorpio,VDI,2006,169488,Good,20.77,156050,Electric
Honda City,EX,2014,1249661,Fair,18.89,163750,CNG
Ford Ecosport,S10,2015,1838923,Good,15.35,16856,Electric
Maruti Suzuki Swift,Titanium,2006,1470539,Needs Work,13.63,44659,Petrol
Ford Ecosport,S10,2019,1460760,Good,21.81,112356,Diesel
Ford Ecosport,Crysta,2023,995367,Good,20.07,39544,Petrol
Honda City,XZ+,2021,389502,Good,10.84,139264,Electric
Mahindra Scorpio,EX,2018,1811073,Excellent,14.44,174532,Electric
Toyota Innova,EX,2014,1397650,Needs Work,23.62,134161,Diesel
Maruti Suzuki Swift,S10,2009,207790,Good,18.97,84937,CNG
Hyundai Creta,XZ+,2010,924625,Excellent,15.32,3176,Electric
Kia Seltos,Crysta,2021,1995327,Fair,20.72,81144,Petrol
Tata Nexon,Crysta,2020,1005933,Good,21.99,14436,Diesel
Mahindra Scorpio,HTX,2017,1391087,Needs Work,11.85,63583,Diesel
Hyundai Creta,VDI,2015,1523454,Needs Work,22.02,26536,Diesel
Maruti Suzuki Swift,EX,2023,1526476,Excellent,11.18,177996,CNG
Honda City,XZ+,2014,334514,Needs Work,16.8,188385,Electric
Honda City,S10,2006,1848991,Needs Work,20.87,134566,Diesel
Honda City,S10,2017,1589972,Fair,21.07,56409,Electric
Hyundai Creta,XZ+,2006,420553,Fair,12.88,144348,Electric
Honda City,EX,2018,246952,Fair,23.65,185052,CNG
Hyundai Creta,HTX,2007,934027,Good,10.8,98633,Petrol
Kia Seltos,XZ+,2012,1229960,Excellent,19.15,148383,CNG
Hyundai Creta,XZ+,2007,1630264,Excellent,24.75,7689,Diesel
Kia Seltos,VDI,2018,124251,Good,20.97,110626,Diesel
Kia Seltos,Titanium,2021,1567830,Needs Work,12.55,179470,Petrol
Toyota Innova,ZX,2011,1470572,Needs Work,15.77,197567,Diesel
Kia Seltos,Titanium,2015,1212826,Excellent,14.54,198663,Petrol
Ford Ecosport,EX,2006,1913711,Excellent,22.83,160956,Diesel
Mahindra Scorpio,HTX,2023,428800,Excellent,20.99,59629,Petrol
Hyundai Creta,VDI,2015,1725091,Good,16.33,62854,Electric
Tata Nexon,HTX,2015,1743796,Excellent,24.84,159720,Electric
Maruti Suzuki Swift,EX,2005,715954,Excellent,21.1,150466,Petrol
Kia Seltos,HTX,2022,1823016,Fair,17.66,89213,CNG
Ford Ecosport,EX,2014,993062,Excellent,19.71,69707,Electric
Honda City,ZX,2006,1808643,Excellent,10.77,8551,CNG
Kia Seltos,EX,2006,894264,Good,13.42,25020,CNG
Toyota Innova,VDI,2005,624381,Good,16.44,68509,CNG
Maruti Suzuki Swift,HTX,2012,1469246,Good,21.05,134792,Diesel
Honda City,XZ+,2018,993068,Good,16.62,149536,Diesel
Kia Seltos,Titanium,2007,500802,Good,23.47,197281,Electric
Honda City,Crysta,2018,221135,Excellent,23.31,11769,Diesel
Mahindra Scorpio,VDI,2009,439171,Excellent,20.47,163253,CNG
Toyota Innova,EX,2022,594552,Needs Work,22.91,109660,Petrol
Hyundai Creta,ZX,2009,1527097,Good,23.43,127232,Diesel
Toyota Innova,VDI,2008,1076046,Needs Work,11.64,65182,Electric
Mahindra Scorpio,XZ+,2014,1046877,Fair,14.28,128454,Petrol
Toyota Innova,S10,2023,846901,Good,12.93,1999,Electric
Hyundai Creta,S10,2009,1205349,Excellent,19.77,77710,Diesel
Toyota Innova,S10,2007,1958135,Excellent,14.03,93378,Electric
Honda City,EX,2005,1911375,Fair,15.69,4412,Petrol
Ford Ecosport,XZ+,2016,578019,Excellent,19.5,69363,Diesel
Kia Seltos,ZX,2009,1344486,Good,20.15,30628,CNG
Honda City,S10,2010,1825067,Good,13.65,3507,CNG
Kia Seltos,Titanium,2020,1099221,Excellent,15.93,75777,Diesel
Hyundai Creta,S10,2017,1119503,Needs Work,21.95,98843,CNG
Ford Ecosport,XZ+,2011,939809,Excellent,20.49,151452,Diesel
Kia Seltos,S10,2005,1727699,Needs Work,18.62,191497,CNG
Toyota Innova,VDI,2007,1069455,Excellent,22.79,153009,Electric
Toyota Innova,Titanium,2006,1890905,Fair,22.68,6752,CNG
Maruti Suzuki Swift,S10,2013,1774713,Excellent,10.32,106284,CNG
Honda City,Crysta,2021,221060,Fair,13.73,154543,Electric
Mahindra Scorpio,S10,2023,1078244,Good,19.87,87365,Electric
Honda City,Crysta,2013,1027448,Needs Work,15.11,72938,CNG
Honda City,Crysta,2012,436681,Excellent,14.3,113549,CNG
Tata Nexon,HTX,2006,1330553,Good,18.53,69853,Petrol
Honda City,XZ+,2018,117160,Fair,22.55,26529,Petrol
Ford Ecosport,XZ+,2022,1160877,Fair,13.56,153825,Electric
Honda City,VDI,2017,708867,Fair,19.16,21155,Electric
Kia Seltos,EX,2019,1739863,Fair,22.77,148657,Petrol
Honda City,Titanium,2020,763476,Good,12.9,193735,Diesel
Hyundai Creta,EX,2021,157395,Needs Work,14.34,72703,CNG
Mahindra Scorpio,Titanium,2011,640729,Fair,24.8,152389,Diesel
Ford Ecosport,XZ+,2009,1092894,Needs Work,21.36,82546,Diesel
Hyundai Creta,VDI,2008,1819649,Fair,10.82,158638,Electric
Toyota Innova,VDI,2022,1014338,Needs Work,17.01,57742,Petrol
Tata Nexon,ZX,2005,1951442,Good,20.23,128396,CNG
Toyota Innova,Titanium,2015,1733298,Good,20.86,107567,Petrol
Kia Seltos,Crysta,2016,1774701,Fair,22.73,161406,Petrol
Ford Ecosport,EX,2021,897982,Needs Work,24.6,15174,Petrol
Mahindra Scorpio,Crysta,2014,135445,Needs Work,21.15,69710,Diesel
Maruti Suzuki Swift,Crysta,2011,242101,Excellent,16.06,118568,CNG
Hyundai Creta,XZ+,2008,1479985,Good,13.13,44701,Petrol
Tata Nexon,XZ+,2007,429960,Excellent,24.73,49721,CNG
Ford Ecosport,EX,2019,1249746,Fair,12.3,186352,Diesel
Tata Nexon,HTX,2018,282109,Needs Work,20.39,8233,CNG
Ford Ecosport,EX,2009,664478,Good,15.78,150983,CNG
Kia Seltos,S10,2022,197315,Excellent,10.69,145524,Electric
Honda City,EX,2012,1706833,Good,23.73,87841,Electric
Maruti Suzuki Swift,Crysta,2016,1656922,Good,23.44,171581,Petrol
Kia Seltos,S10,2006,1820159,Excellent,15.96,143856,CNG
Kia Seltos,VDI,2009,241423,Fair,23.68,158028,Electric
Ford Ecosport,Crysta,2020,768829,Good,17.99,40251,Electric
Hyundai Creta,S10,2010,802909,Excellent,20.27,45950,Diesel
Kia Seltos,Crysta,2017,526200,Needs Work,23.95,59533,CNG
Honda City,VDI,2008,237471,Needs Work,18.19,27928,CNG
Mahindra Scorpio,VDI,2023,1795075,Good,20.58,108817,CNG
Kia Seltos,XZ+,2005,1300830,Fair,11.3,112818,CNG
Toyota Innova,S10,2019,889615,Excellent,20.25,100235,CNG
Honda City,Crysta,2023,1296501,Good,24.0,45390,Electric
Tata Nexon,Titanium,2021,154616,Excellent,24.04,92209,CNG
Honda City,Crysta,2006,838957,Fair,15.39,119825,Electric
Ford Ecosport,S10,2015,838264,Excellent,13.28,91646,Diesel
Kia Seltos,EX,2007,1511773,Excellent,14.25,93725,Petrol
Kia Seltos,EX,2013,666597,Excellent,23.51,115843,CNG
Hyundai Creta,ZX,2007,1486191,Excellent,13.62,96155,Petrol
Mahindra Scorpio,Titanium,2021,807856,Fair,23.42,36436,CNG
Maruti Suzuki Swift,XZ+,2006,589320,Fair,11.57,126123,Diesel
Tata Nexon,Crysta,2015,811328,Excellent,10.64,180797,Petrol
Hyundai Creta,Titanium,2012,361852,Needs Work,13.95,58815,Petrol
Maruti Suzuki Swift,S10,2014,141834,Fair,18.91,197759,CNG
Tata Nexon,EX,2008,151086,Excellent,20.18,117818,Diesel
Hyundai Creta,Crysta,2021,1408831,Excellent,24.4,186353,CNG
Ford Ecosport,EX,2011,545544,Fair,22.33,181381,Petrol
Hyundai Creta,XZ+,2012,1296871,Excellent,21.11,78852,Diesel
Hyundai Creta,VDI,2012,516041,Excellent,19.21,57128,Electric
Kia Seltos,XZ+,2015,1219510,Good,18.43,27110,Petrol
Ford Ecosport,ZX,2010,298195,Fair,17.8,86345,Electric
Maruti Suzuki Swift,EX,2021,1846259,Excellent,16.53,123265,CNG
Maruti Suzuki Swift,EX,2008,451682,Needs Work,18.49,65145,CNG
Toyota Innova,Crysta,2017,1934550,Fair,22.89,150807,Petrol
Hyundai Creta,Titanium,2023,1615110,Good,11.13,24306,CNG
Honda City,HTX,2013,478880,Fair,21.53,26269,CNG
Ford Ecosport,ZX,2011,586690,Excellent,13.52,95493,Diesel
Kia Seltos,Titanium,2019,1090684,Fair,12.91,20650,Diesel
Toyota Innova,VDI,2018,427290,Good,21.71,32366,Electric
Maruti Suzuki Swift,S10,2009,1654974,Needs Work,18.04,94704,Electric
Honda City,S10,2019,1867128,Good,11.4,166593,CNG
Hyundai Creta,Titanium,2011,571644,Fair,24.92,166542,Diesel
Mahindra Scorpio,VDI,2019,1462525,Good,18.07,100952,CNG
Mahindra Scorpio,HTX,2019,1633649,Fair,12.45,140115,Diesel
Ford Ecosport,VDI,2005,371727,Excellent,14.13,95519,Diesel
Toyota Innova,EX,2010,1910988,Needs Work,10.59,190287,Petrol
Toyota Innova,XZ+,2023,1685216,Excellent,18.58,119312,CNG
Mahindra Scorpio,Titanium,2009,1573184,Fair,17.0,96039,Petrol
Ford Ecosport,XZ+,2018,1706237,Needs Work,10.69,55617,Diesel
Honda City,XZ+,2014,1262023,Needs Work,18.36,65465,CNG
Tata Nexon,Titanium,2021,1699732,Excellent,24.12,128696,Petrol
Ford Ecosport,XZ+,2012,1729115,Fair,10.43,77707,Electric
Honda City,XZ+,2017,1838364,Good,19.75,46547,Petrol
Tata Nexon,ZX,2013,1941302,Fair,23.43,82147,Diesel
Toyota Innova,HTX,2007,453287,Excellent,24.31,100435,Petrol
Mahindra Scorpio,XZ+,2011,1588349,Fair,12.8,84390,Petrol
Hyundai Creta,ZX,2006,432123,Good,20.57,91871,Petrol
Hyundai Creta,Titanium,2013,201366,Fair,13.4,33097,CNG
Hyundai Creta,EX,2011,1953412,Needs Work,23.58,70284,Diesel
Honda City,EX,2007,436128,Fair,13.21,95774,Petrol
Maruti Suzuki Swift,Titanium,2013,879198,Good,17.22,190190,Petrol
